Year,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023
Quarter,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1,Qtr2,Qtr3,Qtr4,Qtr1
Total Public Debt Outstanding,"$4,270,540,468,750","$4,367,061,406,250","$4,450,080,158,730","$4,533,451,612,903","$4,583,660,781,250","$4,656,741,093,750","$4,738,264,098,361","$4,824,805,322,581","$4,879,027,031,250","$4,950,515,873,016","$4,983,448,196,721","$5,009,432,258,065","$5,119,579,687,500","$5,188,560,468,750","$5,259,352,741,935","$5,334,217,833,333","$5,351,194,218,750","$5,383,044,531,250","$5,441,952,333,333","$5,507,060,677,966","$5,508,039,523,810","$5,530,938,000,000","$5,571,514,838,710","$5,621,572,000,000","$5,607,164,218,750","$5,636,682,698,413","$5,690,252,096,774","$5,729,180,967,742","$5,682,950,312,500","$5,665,090,000,000","$5,683,869,672,131","$5,727,250,000,000","$5,682,455,781,250","$5,749,964,098,361","$5,847,582,786,885","$5,960,847,540,984","$6,009,163,906,250","$6,170,857,500,000","$6,294,361,612,903","$6,423,020,655,738","$6,509,018,593,750","$6,754,347,187,500","$6,884,595,806,452","$7,053,786,935,484","$7,174,018,593,750","$7,322,210,781,250","$7,477,422,380,952","$7,678,780,322,581","$7,776,433,968,254","$7,898,585,468,750","$8,060,087,704,918","$8,239,103,709,677","$8,362,198,125,000","$8,467,773,333,333","$8,596,695,645,161","$8,748,748,870,968","$8,832,555,000,000","$8,952,537,777,778","$9,107,523,870,968","$9,291,809,516,129","$9,388,214,375,000","$9,615,754,375,000","$10,534,119,354,839","$10,806,734,426,230","$11,279,764,062,500","$11,684,183,076,923","$12,012,064,516,129","$12,441,777,049,180","$12,952,520,312,500","$13,341,948,437,500","$13,763,041,269,841","$14,123,875,806,452","$14,320,770,312,500","$14,555,103,125,000","$15,007,540,983,607","$15,398,079,032,258","$15,696,839,062,500","$15,949,825,396,825","$16,267,780,645,161","$16,566,244,262,295","$16,763,854,687,500","$16,738,393,750,000","$17,105,735,483,871","$17,381,481,967,213","$17,518,026,562,500","$17,681,993,750,000","$17,952,969,354,839","$18,123,432,786,885","$18,152,392,187,500","$18,151,406,153,846","$18,536,961,290,323","$19,051,058,064,516","$19,224,279,687,500","$19,438,035,937,500","$19,830,170,491,803","$19,907,190,322,581","$19,846,104,687,500","$19,929,739,682,540","$20,475,827,419,355","$20,727,640,322,581","$21,090,462,500,000","$21,360,165,079,365","$21,750,285,483,871","$21,996,709,836,066","$22,026,792,063,492","$22,316,931,250,000","$23,004,667,741,936","$23,346,961,290,323","$25,258,812,500,000","$26,603,581,538,462","$27,282,404,838,710","$27,868,201,639,344","$28,197,710,937,500","$28,445,623,437,500","$28,927,453,968,254","$30,063,485,483,871","$30,411,719,047,619","$30,715,237,500,000","$31,273,408,196,721","$31,430,861,290,323"
